17:42:27.973967 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974016 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974028 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.974033 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.974034 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.974036 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.974050 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974078 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974108 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974140 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974179 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 54
17:42:27.974226 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974259 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974296 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974326 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974353 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.974382 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.975689 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.975704 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.975819 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.975881 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.976028 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976037 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976039 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976042 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976044 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976045 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976047 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976049 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976061 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976063 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976065 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.976102 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.976141 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.976169 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.976195 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.976221 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.976252 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.976300 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.976348 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.976379 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.976405 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
